"","B11003_003E","B11003_001E","NAME","state","county","tract","block group"
"1","93","305","Block Group 1, Census Tract 1, District of Columbia, District of Columbia","11","001","000100","1"
"2","29","153","Block Group 2, Census Tract 1, District of Columbia, District of Columbia","11","001","000100","2"
"3","153","408","Block Group 3, Census Tract 1, District of Columbia, District of Columbia","11","001","000100","3"
"4","115","256","Block Group 4, Census Tract 1, District of Columbia, District of Columbia","11","001","000100","4"
"5","0","0","Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia","11","001","000201","1"
"6","46","220","Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia","11","001","000202","1"
"7","83","182","Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia","11","001","000202","2"
"8","41","156","Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia","11","001","000202","3"
"9","37","107","Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia","11","001","000202","4"
"10","102","213","Block Group 1, Census Tract 3, District of Columbia, District of Columbia","11","001","000300","1"
"11","40","230","Block Group 2, Census Tract 3, District of Columbia, District of Columbia","11","001","000300","2"
"12","103","304","Block Group 3, Census Tract 3, District of Columbia, District of Columbia","11","001","000300","3"
"13","68","240","Block Group 4, Census Tract 3, District of Columbia, District of Columbia","11","001","000300","4"
"14","32","176","Block Group 1, Census Tract 4, District of Columbia, District of Columbia","11","001","000400","1"
"15","38","159","Block Group 2, Census Tract 4, District of Columbia, District of Columbia","11","001","000400","2"
"16","74","241","Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia","11","001","000501","1"
"17","19","142","Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia","11","001","000501","2"
"18","164","394","Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia","11","001","000502","1"
"19","95","229","Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia","11","001","000502","2"
"20","105","201","Block Group 1, Census Tract 6, District of Columbia, District of Columbia","11","001","000600","1"
"21","62","173","Block Group 2, Census Tract 6, District of Columbia, District of Columbia","11","001","000600","2"
"22","67","160","Block Group 3, Census Tract 6, District of Columbia, District of Columbia","11","001","000600","3"
"23","69","362","Block Group 4, Census Tract 6, District of Columbia, District of Columbia","11","001","000600","4"
"24","109","245","Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia","11","001","000701","1"
"25","0","85","Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia","11","001","000701","2"
"26","15","253","Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia","11","001","000701","3"
"27","38","143","Block Group 4, Census Tract 7.01, District of Columbia, District of Columbia","11","001","000701","4"
"28","17","278","Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia","11","001","000702","1"
"29","0","95","Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia","11","001","000702","2"
"30","12","104","Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia","11","001","000702","3"
"31","93","392","Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia","11","001","000801","1"
"32","75","252","Block Group 2, Census Tract 8.01, District of Columbia, District of Columbia","11","001","000801","2"
"33","232","809","Block Group 3, Census Tract 8.01, District of Columbia, District of Columbia","11","001","000801","3"
"34","35","157","Block Group 4, Census Tract 8.01, District of Columbia, District of Columbia","11","001","000801","4"
"35","108","373","Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia","11","001","000802","1"
"36","92","173","Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia","11","001","000802","2"
"37","134","362","Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia","11","001","000901","1"
"38","153","363","Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia","11","001","000901","2"
"39","74","334","Block Group 3, Census Tract 9.01, District of Columbia, District of Columbia","11","001","000901","3"
"40","57","201","Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia","11","001","000902","1"
"41","220","345","Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia","11","001","000902","2"
"42","90","227","Block Group 1, Census Tract 10.01, District of Columbia, District of Columbia","11","001","001001","1"
"43","144","452","Block Group 2, Census Tract 10.01, District of Columbia, District of Columbia","11","001","001001","2"
"44","99","268","Block Group 3, Census Tract 10.01, District of Columbia, District of Columbia","11","001","001001","3"
"45","178","374","Block Group 4, Census Tract 10.01, District of Columbia, District of Columbia","11","001","001001","4"
"46","97","242","Block Group 5, Census Tract 10.01, District of Columbia, District of Columbia","11","001","001001","5"
"47","115","331","Block Group 6, Census Tract 10.01, District of Columbia, District of Columbia","11","001","001001","6"
"48","55","94","Block Group 1, Census Tract 10.02, District of Columbia, District of Columbia","11","001","001002","1"
"49","20","222","Block Group 2, Census Tract 10.02, District of Columbia, District of Columbia","11","001","001002","2"
"50","8","161","Block Group 3, Census Tract 10.02, District of Columbia, District of Columbia","11","001","001002","3"
