school_code,school_name,cluster,count
1100,Achievement Preparatory Academy PCS,Cluster 18,-1
1100,Achievement Preparatory Academy PCS,Cluster 19,-1
1100,Achievement Preparatory Academy PCS,Cluster 2,-1
1100,Achievement Preparatory Academy PCS,Cluster 20,-1
1100,Achievement Preparatory Academy PCS,Cluster 22,-1
1100,Achievement Preparatory Academy PCS,Cluster 23,-1
1100,Achievement Preparatory Academy PCS,Cluster 24,-1
1100,Achievement Preparatory Academy PCS,Cluster 25,-1
1100,Achievement Preparatory Academy PCS,Cluster 26,-1
1100,Achievement Preparatory Academy PCS,Cluster 28,-1
1100,Achievement Preparatory Academy PCS,Cluster 3,-1
1100,Achievement Preparatory Academy PCS,Cluster 32,-1
1100,Achievement Preparatory Academy PCS,Cluster 33,-1
1100,Achievement Preparatory Academy PCS,Cluster 34,-1
1100,Achievement Preparatory Academy PCS,Cluster 35,-1
1100,Achievement Preparatory Academy PCS,Cluster 36,-1
1100,Achievement Preparatory Academy PCS,Cluster 37,-1
1100,Achievement Preparatory Academy PCS,Cluster 38,21
1100,Achievement Preparatory Academy PCS,Cluster 39,68
1100,Achievement Preparatory Academy PCS,Cluster 7,-1
1100,Achievement Preparatory Academy PCS,Cluster 8,-1
1100,Achievement Preparatory Academy PCS,Cluster 9,-1
1100,Achievement Preparatory Academy PCS,UNENCODABLE,165
202,Aiton ES,Cluster 18,-1
202,Aiton ES,Cluster 2,-1
202,Aiton ES,Cluster 24,-1
202,Aiton ES,Cluster 26,-1
202,Aiton ES,Cluster 29,-1
202,Aiton ES,Cluster 30,50
202,Aiton ES,Cluster 31,146
202,Aiton ES,Cluster 32,12
202,Aiton ES,Cluster 33,18
202,Aiton ES,Cluster 34,-1
202,Aiton ES,Cluster 35,-1
202,Aiton ES,Cluster 36,-1
202,Aiton ES,Cluster 37,-1
202,Aiton ES,Cluster 39,-1
202,Aiton ES,UNENCODABLE,-1
203,Amidon Bowen  ES,Cluster 19,-1
203,Amidon Bowen  ES,Cluster 2,-1
203,Amidon Bowen  ES,Cluster 25,-1
203,Amidon Bowen  ES,Cluster 27,10
203,Amidon Bowen  ES,Cluster 28,-1
203,Amidon Bowen  ES,Cluster 29,-1
