School_Year,LEA_Name,School_Name,LEA_Code,School_Code,LEA_ID_NCES,School_Type_State,School_Type_NCES,Web_Site,Charter_Status,SY_Start_School_Opp_Status,School_Address_Mailing_2,School_City,ZIP_Code_Mailing,School_Address_Location_1,School_Address_Location_2,School_ZIP_Code_Location,PreK_3,Prek_4,Preschool,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Ungraded,No_Grade,Grade_Adult,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
2012-2013,William E. Doar Jr PCS,William E. Doar Jr PCS,153,210,1100053,Regular School,Regular School,http://www.wedjschool.us/,Yes,Open,NULL,Washington,20017,705 Edgewood St NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,705 EDGEWOOD STREET NE,400359.57000000,139530.04000000,38.92364480,-76.99585343,Ward 5,009204,20017,289576,100.00000000,DC Address,
2012-2013,Latin American Youth Center (LAYC) Career Academy,Latin American Youth Center Career Academy,172,104,1100059,Regular School,Regular School,www.laycca.org/,Yes,Open,NULL,Washington,20009,3047 15th St NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3047 15TH STREET NW,396892.23000000,140071.02000000,38.92851269,-77.03584130,Ward 1,002802,20009,243343,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Langley EC,1,370,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,101 T Street NE,NULL,20002,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,101 T STREET NE,399489.48000000,138589.14000000,38.91516879,-77.00588662,Ward 5,008701,20002,285757,100.00000000,DC Address,
2012-2013,Maya Angelou PCS,Maya Angelou Evans Campus PCS,133,101,1100014,Alternative Education School,Alternative Education School,www.seeforever.org,Yes,Open,NULL,Washington,20019,5600 East Capitol Street NE,3rd Floor,20019,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,5600 EAST CAPITOL STREET NE,406885.34000000,135830.53000000,38.89029144,-76.92063526,Ward 7,007808,20019,289793,100.00000000,DC Address,
2012-2013,Cesar Chavez PCS,Cesar Chavez Parkside MS PCS,109,102,1100005,Regular school,Regular School,www.chavezschools.org,Yes,Open,NULL,Washington,20019,3701 Hayes St  NE,NULL,20019,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,3701 HAYES STREET NE,404418.20000000,137066.13000000,38.90143803,-76.94906511,Ward 7,009602,20019,304053,100.00000000,DC Address,
2012-2013,St. Coletta Special Education PCS,St. Coletta Special Education PCS,143,1047,1100064,Special education school,Special education school,www.stcoletta.org,Yes,Open,NULL,Washington,20003,1901 Independence Avenue SE,NULL,20003,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,1901 INDEPENDENCE AVENUE SE,402023.67000000,135486.49000000,38.88721683,-76.97667492,Ward 7,006804,20003,302511,100.00000000,DC Address,
2012-2013,Community Academy PCS,Community Academy Amos I,113,105,1100007,Regular school,Regular School,www.capcs.org,Yes,Open,NULL,Washington,20011,1300 Allison St NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1300 ALLISON STREET NW,397352.45000000,141867.84000000,38.94470049,-77.03054061,Ward 4,002501,20011,255251,100.00000000,DC Address,
2012-2013,Community Academy PCS,Community Academy Butler Bilingual,113,106,1100007,Regular school,Regular School,www.capcs.org,Yes,Open,NULL,Washington,20005,5 Thomas Circle NW,NULL,20005,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5 THOMAS CIRCLE NW,397172.36000000,137624.15000000,38.90647143,-77.03260054,Ward 2,005201,20005,243014,100.00000000,DC Address,
2012-2013,The Next Step PCS,The Next Step PCS- Adult,145,1061,1100017,Regular school,Regular School,www.nextsteppcs.org,Yes,Open,NULL,Washington,20009,3047 15th St NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,3047 15TH STREET NW,396892.23000000,140071.02000000,38.92851269,-77.03584130,Ward 1,002802,20009,243343,100.00000000,DC Address,
2012-2013,Community Academy PCS,Community Academy Online,113,108,1100007,Regular school,Regular School,www.k12.com/capcs,Yes,Open,NULL,Washington,20011,1351 Nicholson St NW,NULL,20011,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1351 NICHOLSON STREET NW,397261.57000000,143623.99000000,38.96052008,-77.03159596,Ward 4,002001,20011,257768,100.00000000,DC Address,
