"Comments","School.Year","NCES_KEY","EID","LEA.Name","SchoolName","LEA_ID..State.","SChool_ID.State.","LEA.ID..NCES.","School.ID..NCES.","Longitundal.LEA","Longitudinal.School","Adjusted.School.ID","School.Type..State.","School.Type..NCSE.","Web.Site","Telephone.Number","Charter.Status","SY_Start_School_Opp_Status","Updated_School_Opp_Status","Updated_Opp_Status_Effective_Date","School.Address.Mailing","School.Address.Mailing.2","School.City.Mailing..ID.8.N029.","ZIP.Code.Mailing","School.ZIP.Code.Location","School.Address.Location.1","School.Address.Location.2","School.ZIP.Code.Plus.4.Mailing","School.City.Location","State.Abbreviation.Location","School.ZIP.Code.Plus.4.Location","PreK.3","Prek.4","Preschool","Kindergarten","Grade.1","Grade.2","Grade.3","Grade.4","Grade.5","Grade.6","Grade.7","Grade.8","Grade.9","Grade.10","Grade.11","Grade.12","Ungraded","No.Grade","Grade.Adult","lon","lat"
"","2011-2012",110007200405,"8ead6c3a","Achievement Preparatory Academy PCS","Achievement Preparatory Academy PCS",155,1100,1100072,405,155,1100,1100,"Regular school","Regular school","www.artstechacademy.org","202-562-1214","Yes","Open","Open","27-Jan-12","908 Wahler Pl  SE","Third Floor","Washington","20032","20032","908 Wahler Pl  SE","Third Floor",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-76.9925319,38.8338562
"","2011-2012",110003000122,"d29538b8","District of Columbia Public Schools","Aiton ES",1,202,1100030,122,1,202,202,"Regular school","Regular school","www.dcps.dc.gov","202-671-6060","No","Open","Open","27-Jan-12","533 48th Pl  NE","","Washington","20019","20019","533 48th Pl  NE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-76.9340386,38.8961055
"received kids from Bowen to make amidon bowen in 0809 and took amidon's id (203)","2011-2012",110003000121,"12e22c2c","District of Columbia Public Schools","Amidon Bowen  ES",1,203,1100030,121,1,203,203,"Regular school","Regular school","www.dcps.dc.gov","(202) 724-4867","No","Open","Open","27-Jan-12","401 Eye St  SW","","Washington","20024","20024","401 Eye St  SW","",NA,"Washington","DC",NA,"Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.017649,38.8794152
"","2011-2012",110003000085,"5cd4aa47","District of Columbia Public Schools","Anacostia SHS",1,450,1100030,85,1,450,450,"Regular school","Regular school","www.dcps.dc.gov","202-698-2155","No","Open","Open","27-Jan-12","1601 16th St  SE","","Washington","20020","20020","1601 16th St  SE","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N",-76.9822457,38.8710648
"","2011-2012",110005400415,"4429e112","AppleTree Early Learning Center PCS","AppleTree Early Learning Center PCS Amidon",103,139,1100054,415,103,139,139,"Regular school","Regular school","www.appletreeinstitute.org","(202) 646-0094","Yes","Open","Open","27-Jan-12","401 I Street SW","","Washington","20024","20024","401 I Street SW","",NA,"Washington","DC",NA,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-77.017649,38.8794152
"","2011-2012",110005400304,"43182957","AppleTree Early Learning Center PCS","AppleTree Early Learning Center PCS Columbia Heights",103,140,1100054,304,103,140,140,"Regular school","Regular school","www.appletreeinstitute.org","(202)-667-9490","Yes","Open","Open","27-Jan-12","2750 14th Street NW","","Washington","20009","20009","2750 14th Street NW","",NA,"Washington","DC",NA,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-77.032704,38.925191
"","2011-2012",110005400447,"afdcb801","AppleTree Early Learning Center PCS","AppleTree Early Learning Center PCS Douglass Knoll",103,3072,1100054,447,103,3072,3072,"Regular school","Regular school","www.appletreeinstitute.org","(202) 629-2545","Yes","New","Open","27-Jan-12","2017 Savannah Terrace, SE","","Washington","20020","20020","2017 Savannah Terrace, SE","",NA,"Washington","DC",NA,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-76.9748654,38.8487641
"","2011-2012",110005400448,"8db798c7","AppleTree Early Learning Center PCS","AppleTree Early Learning Center PCS Lincoln",103,3073,1100054,448,103,3073,3073,"Regular school","Regular school","www.appletreeinstitute.org","(202) 621-6581","Yes","New","Open","27-Jan-12","138 12th Street, NE","","Washington","20002","20019","138 12th Street, NE","",NA,"Washington","DC",NA,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-76.990651,38.891492
"Was East Capitol campus and school moved to Oklahoma Ave.","2011-2012",110005400435,"a4153cfd","AppleTree Early Learning Center PCS","AppleTree Early Learning Center PCS Oklahoma",103,1137,1100054,435,103,1137,1137,"Regular school","Regular school","www.appletreeinstitute.org","(202) 629-2179","Yes","Open","Open","27-Jan-12","320 21st Street NE","","Washington","20002","20002","320 21st Street NE","",NA,"Washington","DC",NA,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-76.9750538,38.8940002
"","2011-2012",110005400451,"e40cfffd","AppleTree Early Learning Center PCS","AppleTree Early Learning Center PCS Parkland",103,3074,1100054,451,103,3074,3074,"Regular school","Regular school","www.appletreeinstitute.org","(202) 506-1890","Yes","New","Open","27-Jan-12","2011 Savannah Terrace, SE","","Washington","20020","20020","2011 Savannah Terrace, SE","",NA,"Washington","DC",NA,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-76.9728245,38.8495883
